ofs,nom,canton,district,revenu_median_est,part_haut_revenu,nb_contribuables,coefficient,fortune_moy_chf,revenu_norm,coeff_norm,indice_pouvoir_achat
5565,Onnens (VD),Vaud,Jura-Nord vaudois,58020.0,21.2,264.0,65.0,180436.0,40.32809895604878,51.35135135135135,44.5
5928,Rovray,Vaud,Jura-Nord vaudois,67917.0,29.2,89.0,73.0,180436.0,62.03395034652163,72.97297297297297,44.5
5636,Etoy,Vaud,Morges,51826.0,22.8,1520.0,60.0,471789.0,26.7435739977191,37.83783783783784,44.5
6639,Soral,Genève,Genève,67816.0,30.4,450.0,44.0,,61.8124396876919,73.07692307692307,44.4
5882,Chardonne,Vaud,Riviera-Pays-d'Enhaut,61625.0,24.5,1776.0,68.0,337178.0,48.23449425388192,59.45945945945946,44.4
6627,Laconnex,Genève,Genève,67828.0,35.7,345.0,44.0,,61.83875778577068,73.07692307692307,44.4
2130,Crésuz,Fribourg,La Gruyère,57895.0,18.3,218.0,67.0,,40.0539521010615,51.470588235294116,44.3
5434,Saint-George,Vaud,Nyon,63195.0,29.2,524.0,69.5,601453.0,51.67777875252215,63.51351351351351,44.1
5458,Faoug,Vaud,Broye-Vully,57618.0,21.2,520.0,65.0,149121.0,39.44644267040969,51.35135135135135,44.0
2174,Avry,Fribourg,La Sarine,59022.0,22.1,1045.0,69.1,,42.52566014562681,54.55882352941176,44.0
5799,Servion,Vaud,Lavaux-Oron,62392.0,26.4,1141.0,69.0,563599.0,49.91665935608386,62.16216216216216,43.9
5649,Tolochenaz,Vaud,Morges,56190.0,22.3,972.0,64.0,471789.0,36.314588999035,48.64864864864865,43.8
2055,Cheyres-Châbles,Fribourg,La Broye,59489.0,21.8,1364.0,70.0,,43.54987279585929,55.88235294117647,43.8
5747,Bofflens,Vaud,Jura-Nord vaudois,61765.0,23.1,104.0,69.0,180436.0,48.54153873146767,62.16216216216216,43.2
2129,Corbières,Fribourg,La Gruyère,61271.0,21.1,558.0,73.5,,47.458110360557946,61.029411764705884,43.2
2208,Matran,Fribourg,La Sarine,55473.0,18.9,946.0,65.0,,34.742082638827966,48.529411764705884,43.1
6645,Veyrier,Genève,Genève,54426.0,29.0,5249.0,37.0,,32.44582858145451,46.15384615384615,43.1
5929,Suchy,Vaud,Jura-Nord vaudois,62821.0,26.9,342.0,70.0,180436.0,50.85753136240021,64.86486486486487,43.0
5853,Bursins,Vaud,Nyon,63983.0,32.1,392.0,71.0,601453.0,53.406000526361964,67.56756756756756,42.9
5703,Bassins,Vaud,Nyon,65678.0,30.0,724.0,72.5,601453.0,57.123431879989475,71.62162162162163,42.8
2197,Givisiez,Fribourg,La Sarine,58572.0,18.9,1604.0,70.0,,41.538731467672605,55.88235294117647,42.8
5436,Saint-Oyens,Vaud,Morges,71221.0,37.1,229.0,77.0,471789.0,69.2802000175454,83.78378378378379,42.7
5656,Hautemorges,Vaud,Morges,60105.0,25.6,2276.0,68.0,471789.0,44.9008684972366,59.45945945945946,42.7
2276,Ried bei Kerzers,Fribourg,See,59956.0,21.3,663.0,72.5,,44.57408544609176,59.55882352941176,42.5
2148,Riaz,Fribourg,La Gruyère,60129.0,19.7,1562.0,73.0,,44.95350469339416,60.29411764705882,42.3
5496,Penthaz,Vaud,Gros-de-Vaud,61464.0,24.9,967.0,69.5,264755.0,47.8813931046583,63.51351351351351,42.2
5804,Jorat-Menthue,Vaud,Gros-de-Vaud,62625.0,22.9,831.0,70.5,264755.0,50.42766909378016,66.21621621621621,42.1
5523,Froideville,Vaud,Gros-de-Vaud,64429.0,25.3,1417.0,72.0,264755.0,54.38415650495657,70.27027027027027,42.1
5604,Forel (Lavaux),Vaud,Lavaux-Oron,60501.0,20.9,1120.0,69.0,563599.0,45.7693657338363,62.16216216216216,41.8
2198,Granges-Paccot,Fribourg,La Sarine,56061.0,16.0,1984.0,67.8,,36.03166944468813,52.647058823529406,41.7
6610,Céligny,Genève,Genève,46072.0,21.9,356.0,33.0,,14.124045968944642,30.76923076923077,41.7
5601,Chexbres,Vaud,Lavaux-Oron,58334.0,23.1,1236.0,67.5,563599.0,41.01675585577682,58.108108108108105,41.5
5851,Allaman,Vaud,Morges,55184.0,24.4,213.0,65.0,471789.0,34.10825511009738,51.35135135135135,41.4
5926,Pomy,Vaud,Jura-Nord vaudois,62500.0,29.0,442.0,71.0,180436.0,50.15352223879288,67.56756756756756,41.3
2131,Echarlens,Fribourg,La Gruyère,57115.0,21.3,502.0,70.0,,38.34327572594087,55.88235294117647,41.2
5756,Montcherand,Vaud,Jura-Nord vaudois,63617.0,23.5,251.0,72.0,180436.0,52.60329853495921,70.27027027027027,41.2
