ofs,nom,district,note_pouvoir_achat,note_population,note_tension_ems,indice_pouvoir_achat,pop_80plus,pop_zone_80plus,part_80plus,dist_ems_km,lits_pour_100_district,prix_m2_appart,prix_fiabilite
5708,Chavannes-des-Bois,Nyon,3.35,2.95,3.65,67.1,30.0,4283,3.1,4.17,11.0,6726.0,indicative (1-4)
5731,Le Vaud,Nyon,2.38,2.47,3.9,47.5,47.0,2719,3.4,6.4,11.0,10025.0,solide (5+)
5758,La Praz,Jura-Nord vaudois,0.88,1.63,2.32,17.5,7.0,1240,3.4,5.76,17.0,3692.0,indicative (1-4)
5759,Premier,Jura-Nord vaudois,1.06,1.67,2.5,21.2,13.0,1287,5.7,7.52,17.0,6253.0,estimé (voisinage)
5790,Maracon,Lavaux-Oron,1.88,2.48,4.01,37.5,20.0,2742,3.5,3.6,9.3,10936.0,estimé (voisinage)
5861,Rolle,Nyon,2.46,2.4,3.48,49.2,391.0,2537,6.0,2.57,11.0,16036.0,solide (5+)
6601,Aire-la-Ville,Genève,1.64,4.77,3.12,32.8,52.0,23522,4.4,2.46,12.4,8901.0,indicative (1-4)
6609,Cartigny,Genève,2.84,4.72,3.06,56.9,46.0,22368,4.4,1.97,12.4,10583.0,indicative (1-4)
6624,Gy,Genève,1.96,3.38,3.26,39.3,22.0,6402,4.0,3.81,12.4,4653.0,annonces (surface estimée)
5541,Goumoëns,Gros-de-Vaud,1.94,2.67,2.46,38.7,67.0,3272,5.6,0.12,14.0,3667.0,indicative (1-4)
5591,Renens (VD),Ouest lausannois,0.66,4.53,1.46,13.2,964.0,18721,4.5,0.47,18.1,9023.0,indicative (1-4)
5639,Lully (VD),Morges,3.88,3.26,4.06,77.7,36.0,5698,4.3,2.82,8.8,10604.0,indicative (1-4)
5718,Genolier,Nyon,3.99,2.92,3.66,79.8,109.0,4143,5.4,4.27,11.0,11518.0,indicative (1-4)
5722,Grens,Nyon,2.94,2.88,3.51,58.8,21.0,3996,5.4,2.88,11.0,11333.0,estimé (voisinage)
5856,Essertines-sur-Rolle,Nyon,2.99,2.47,3.4,59.7,18.0,2728,2.3,1.86,11.0,12244.0,indicative (1-4)
6618,Confignon,Genève,1.59,4.91,2.9,31.8,278.0,26712,6.1,0.57,12.4,12607.0,indicative (1-4)
6640,Thônex,Genève,1.01,4.85,2.88,20.1,982.0,25424,5.8,0.35,12.4,12377.0,solide (5+)
6645,Veyrier,Genève,2.16,4.93,2.94,43.1,894.0,27244,7.4,0.88,12.4,11788.0,solide (5+)
2067,Le Châtelard,La Glâne,0.87,2.59,1.46,17.4,20.0,3057,5.5,5.36,20.2,,
2275,Murten,See,2.42,2.27,2.16,48.3,599.0,2259,6.3,0.0,15.1,,
2337,Le Flon,La Veveyse,0.96,2.03,1.2,19.2,47.0,1795,3.9,1.55,19.6,,
2130,Crésuz,La Gruyère,2.22,2.31,0.96,44.3,29.0,2348,6.0,0.24,20.0,,
2308,Ueberstorf,Sense,1.67,1.75,3.08,33.4,143.0,1382,5.9,6.81,14.4,,
6620,Dardagny,Genève,1.01,3.43,3.08,20.2,109.0,6688,6.0,2.13,12.4,7649.0,indicative (1-4)
5412,Rennaz,Aigle,1.75,2.95,0.33,35.0,40.0,4255,4.2,3.0,23.7,6701.0,estimé (voisinage)
5431,Mollens (VD),Morges,1.27,1.6,4.4,25.4,14.0,1200,4.3,5.93,8.8,8969.0,estimé (voisinage)
5464,Vully-les-Lacs,Broye-Vully,2.06,1.91,2.12,41.2,183.0,1603,5.0,3.96,17.0,6873.0,solide (5+)
5415,Yvorne,Aigle,1.58,2.01,0.31,31.6,53.0,1768,4.8,2.83,23.7,6429.0,indicative (1-4)
5490,Moiry,Morges,1.59,1.88,4.24,31.8,10.0,1571,3.3,4.53,8.8,5350.0,estimé (voisinage)
5518,Echallens,Gros-de-Vaud,1.54,2.78,2.48,30.8,297.0,3622,4.4,0.33,14.0,8750.0,solide (5+)
5520,Essertines-sur-Yverdon,Gros-de-Vaud,2.02,2.82,3.06,40.5,34.0,3789,3.0,5.62,14.0,8213.0,indicative (1-4)
5555,Corcelles-près-Concise,Jura-Nord vaudois,1.86,2.51,1.74,37.3,33.0,2823,7.6,0.44,17.0,7075.0,estimé (voisinage)
5585,Jouxtens-Mézery,Lausanne,3.42,4.54,2.16,68.5,102.0,18926,6.9,1.11,15.6,14662.0,annonces (surface estimée)
5623,Buchillon,Morges,3.84,2.74,4.65,76.8,43.0,3491,6.3,8.23,8.8,10769.0,estimé (voisinage)
5629,Clarmont,Morges,1.88,3.37,3.92,37.5,8.0,6343,3.5,1.62,8.8,9904.0,estimé (voisinage)
5634,Echichens,Morges,2.51,3.71,4.1,50.3,240.0,8668,7.4,3.26,8.8,9904.0,indicative (1-4)
5714,Crassier,Nyon,2.49,3.04,3.74,49.8,50.0,4655,3.9,5.0,11.0,11869.0,indicative (1-4)
5745,Baulmes,Jura-Nord vaudois,1.1,1.79,2.08,22.1,53.0,1444,4.5,3.59,17.0,5209.0,estimé (voisinage)
5754,Juriens,Jura-Nord vaudois,1.16,1.82,2.46,23.2,13.0,1481,3.7,7.07,17.0,6253.0,estimé (voisinage)
5816,Corcelles-près-Payerne,Broye-Vully,1.74,2.53,2.48,34.7,117.0,2868,3.9,7.27,17.0,4006.0,indicative (1-4)
5889,La Tour-de-Peilz,Riviera-Pays-d'Enhaut,1.98,3.4,1.72,39.6,891.0,6503,7.0,1.27,17.4,10340.0,solide (5+)
5923,Oppens,Gros-de-Vaud,1.46,2.82,2.77,29.2,8.0,3773,4.0,3.03,14.0,8067.0,estimé (voisinage)
5931,Treycovagnes,Jura-Nord vaudois,1.74,2.71,1.97,34.7,21.0,3393,4.1,2.6,17.0,8455.0,estimé (voisinage)
5937,Vugelles-La Mothe,Jura-Nord vaudois,1.78,2.58,1.91,35.5,6.0,3026,4.1,2.06,17.0,8333.0,estimé (voisinage)
5938,Yverdon-les-Bains,Jura-Nord vaudois,0.84,2.77,1.78,16.9,1817.0,3618,6.0,0.89,17.0,8455.0,solide (5+)
2038,Prévondavaux,La Broye,0.6,2.02,2.76,12.0,4.0,1788,3.5,4.08,14.5,,
2186,Cottens (FR),La Sarine,1.64,2.64,1.18,32.8,80.0,3186,5.2,0.15,19.1,,
5409,Ollon,Aigle,1.64,2.06,0.14,32.9,380.0,1851,4.6,1.25,23.7,9669.0,solide (5+)
5472,Bournens,Gros-de-Vaud,2.7,3.57,2.52,54.1,20.0,7623,3.8,0.71,14.0,8750.0,estimé (voisinage)
5486,L'Isle,Morges,1.14,1.66,3.86,22.7,49.0,1268,4.5,1.04,8.8,7239.0,estimé (voisinage)
5621,Aclens,Morges,2.76,3.76,3.96,55.2,20.0,9155,3.4,1.91,8.8,9052.0,estimé (voisinage)
5669,Curtilles,Broye-Vully,1.36,2.09,1.8,27.1,9.0,1904,2.9,1.06,17.0,5634.0,indicative (1-4)
5710,Coinsins,Nyon,3.97,2.92,3.48,79.4,24.0,4143,4.6,2.56,11.0,10903.0,estimé (voisinage)
5711,Commugny,Nyon,3.08,3.09,3.67,61.6,165.0,4873,5.5,4.35,11.0,11477.0,indicative (1-4)
5721,Gland,Nyon,2.52,2.81,3.35,50.4,490.0,3745,3.5,1.44,11.0,9727.0,solide (5+)
5760,Rances,Jura-Nord vaudois,1.31,2.0,2.29,26.2,23.0,1744,4.5,5.55,17.0,4824.0,annonces (surface estimée)
5851,Allaman,Morges,2.07,2.34,4.41,41.4,18.0,2401,4.2,6.06,8.8,16036.0,estimé (voisinage)
5890,Vevey,Riviera-Pays-d'Enhaut,0.84,3.4,1.75,16.9,982.0,6503,4.9,1.5,17.4,9939.0,solide (5+)
6643,Vernier,Genève,0.25,4.97,2.96,4.9,1815.0,28415,4.8,1.03,12.4,10282.0,solide (5+)
2148,Riaz,La Gruyère,2.11,2.47,1.13,42.3,111.0,2709,3.8,1.81,20.0,,
2162,Bas-Intyamon,La Gruyère,1.46,2.1,1.32,29.1,57.0,1922,3.3,3.58,20.0,,
2216,Pierrafortscha,La Sarine,1.31,3.37,1.36,26.1,8.0,6345,5.3,1.88,19.1,,
2257,Cressier (FR),See,2.41,2.65,2.5,48.1,35.0,3207,3.2,3.11,15.1,,
2292,Brünisried,Sense,1.51,2.13,2.54,30.2,22.0,1971,3.0,1.89,14.4,,
5403,Chessel,Aigle,1.62,1.75,0.42,32.4,23.0,1388,4.4,3.9,23.7,6701.0,estimé (voisinage)
5485,Grancy,Morges,2.27,2.69,3.92,45.4,22.0,3330,4.1,1.53,8.8,9052.0,estimé (voisinage)
5551,Bonvillars,Jura-Nord vaudois,2.26,2.53,1.98,45.1,22.0,2873,4.3,2.68,17.0,7905.0,indicative (1-4)
5561,Grandson,Jura-Nord vaudois,1.58,2.57,2.06,31.7,151.0,2990,4.5,3.49,17.0,7923.0,solide (5+)
5568,Sainte-Croix,Jura-Nord vaudois,0.88,1.22,1.76,17.6,408.0,844,7.9,0.63,17.0,5209.0,solide (5+)
5589,Prilly,Ouest lausannois,1.15,4.52,1.48,23.0,802.0,18643,6.3,0.6,18.1,11557.0,indicative (1-4)
5628,Chigny,Morges,2.48,3.5,3.93,49.5,7.0,7141,1.7,1.63,8.8,14471.0,annonces (surface estimée)
5741,L'Abergement,Jura-Nord vaudois,1.52,1.99,2.4,30.5,11.0,1731,4.1,6.47,17.0,6832.0,estimé (voisinage)
5747,Bofflens,Jura-Nord vaudois,2.16,2.0,2.1,43.2,7.0,1747,3.5,3.83,17.0,6832.0,estimé (voisinage)
5803,Vulliens,Broye-Vully,1.65,2.29,2.12,33.0,24.0,2288,3.8,3.99,17.0,5865.0,annonces (surface estimée)
6636,Puplinge,Genève,1.4,4.66,3.07,28.1,157.0,21133,6.0,2.06,12.4,10220.0,solide (5+)
2099,Siviriez,La Glâne,1.26,1.97,1.4,25.1,101.0,1710,3.8,4.77,20.2,,
