ofs,nom,district,dist_ems_km,pop_totale,pop_80plus,part_80plus,indice_pouvoir_achat,prix_m2_appart,prix_fiabilite,lits_pour_100_district,demande_score,tension_score,pouvoir_achat_score,prix_bas_score
5514,Bottens,Gros-de-Vaud,3.63,1354.0,44.0,3.2,39.4,6946.0,estimé (voisinage),14.0,27.4,56.8,39.4,85.4
5554,Concise,Jura-Nord vaudois,2.37,1025.0,34.0,3.3,35.1,7075.0,annonces (surface estimée),17.0,28.2,38.9,35.1,84.9
5571,Tévenon,Jura-Nord vaudois,2.08,862.0,56.0,6.5,35.9,7977.0,indicative (1-4),17.0,55.6,38.3,35.9,80.9
5655,Yens,Morges,3.57,1498.0,68.0,4.5,48.2,9944.0,estimé (voisinage),8.8,38.5,82.8,48.2,72.4
5674,Lovatens,Broye-Vully,2.52,146.0,6.0,4.1,21.4,8077.0,estimé (voisinage),17.0,35.0,39.2,21.4,80.5
5756,Montcherand,Jura-Nord vaudois,2.6,489.0,17.0,3.5,41.2,6832.0,estimé (voisinage),17.0,29.9,39.4,41.2,85.9
5933,Valeyres-sous-Montagny,Jura-Nord vaudois,0.61,707.0,39.0,5.5,38.3,10385.0,solide (5+),17.0,47.0,35.1,38.3,70.4
6610,Céligny,Genève,4.56,862.0,38.0,4.4,41.7,,,12.4,37.6,66.8,41.7,
2055,Cheyres-Châbles,La Broye,1.69,2487.0,101.0,4.1,43.8,,,14.5,35.0,50.0,43.8,
2137,Hauteville,La Gruyère,1.98,744.0,20.0,2.7,32.9,,,20.0,23.1,22.9,32.9,
2174,Avry,La Sarine,2.08,1949.0,76.0,3.9,44.0,,,19.1,33.3,27.7,44.0,
2237,Prez,La Sarine,4.35,2465.0,83.0,3.4,36.2,,,19.1,29.1,32.7,36.2,
2333,Remaufens,La Veveyse,1.53,1427.0,24.0,1.7,31.6,,,19.6,14.5,24.0,31.6,
2113,Vuisternens-devant-Romont,La Glâne,5.63,2383.0,115.0,4.8,23.8,,,20.2,41.0,29.9,23.8,
2152,Sâles,La Gruyère,4.52,1467.0,50.0,3.4,26.8,,,20.0,29.1,28.5,26.8,
5471,Bettens,Gros-de-Vaud,2.54,646.0,11.0,1.7,45.4,5690.0,estimé (voisinage),14.0,14.5,54.4,45.4,90.9
5479,Cuarnens,Morges,2.69,561.0,18.0,3.2,30.7,5350.0,indicative (1-4),8.8,27.4,80.9,30.7,92.4
5521,Etagnières,Gros-de-Vaud,2.63,1191.0,52.0,4.4,38.4,7980.0,estimé (voisinage),14.0,37.6,54.6,38.4,80.9
5582,Cheseaux-sur-Lausanne,Lausanne,0.94,4847.0,265.0,5.5,35.8,7980.0,annonces (surface estimée),15.6,47.0,42.8,35.8,80.9
5604,Forel (Lavaux),Lavaux-Oron,0.73,2087.0,96.0,4.6,41.8,7274.0,annonces (surface estimée),9.3,39.3,74.1,41.8,84.0
5651,Villars-Sainte-Croix,Ouest lausannois,2.72,953.0,38.0,4.0,59.3,8935.0,indicative (1-4),18.1,34.2,34.1,59.3,76.8
5652,Villars-sous-Yens,Morges,5.3,602.0,28.0,4.7,36.8,12914.0,annonces (surface estimée),8.8,40.2,86.6,36.8,59.4
5712,Coppet,Nyon,3.82,3232.0,194.0,6.0,66.7,26533.0,indicative (1-4),11.0,51.3,72.3,66.7,0.0
5724,Nyon,Nyon,0.31,23351.0,1167.0,5.0,49.8,10987.0,solide (5+),11.0,42.7,64.6,49.8,67.8
5725,Prangins,Nyon,2.09,4271.0,242.0,5.7,64.2,10411.0,indicative (1-4),11.0,48.7,68.5,64.2,70.3
5755,Lignerolle,Jura-Nord vaudois,7.57,461.0,17.0,3.7,28.5,7420.0,indicative (1-4),17.0,31.6,50.3,28.5,83.4
5757,Orbe,Jura-Nord vaudois,0.77,7978.0,398.0,5.0,22.1,6832.0,solide (5+),17.0,42.7,35.4,22.1,85.9
5885,Jongny,Riviera-Pays-d'Enhaut,0.37,1928.0,88.0,4.6,49.5,16071.0,annonces (surface estimée),17.4,39.3,32.5,49.5,45.6
5914,Ependes (VD),Jura-Nord vaudois,4.76,379.0,19.0,5.0,28.7,9006.0,indicative (1-4),17.0,42.7,44.1,28.7,76.4
6605,Bardonnex,Genève,1.82,2545.0,136.0,5.3,34.6,,,12.4,45.3,60.9,34.6,
6642,Vandoeuvres,Genève,2.22,3030.0,146.0,4.8,66.9,,,12.4,41.0,61.7,66.9,
