ofs,nom,annee,pop_totale,pop_65plus,pop_80plus,part_65plus,part_80plus
2128,Châtel-sur-Montsalvens,2024,358,50,12,14.0,3.4
5754,Juriens,2024,348,70,13,20.1,3.7
5476,Chevilly,2024,346,40,10,11.6,2.9
5680,Ogens,2024,341,61,11,17.9,3.2
5609,Rivaz,2024,329,78,38,23.7,11.6
5431,Mollens (VD),2024,324,49,14,15.1,4.3
5907,Chavannes-le-Chêne,2024,322,58,15,18.0,4.7
2043,Sévaz,2024,318,44,11,13.8,3.5
5827,Trey,2024,318,48,11,15.1,3.5
5483,Ferreyres,2024,309,56,8,18.1,2.6
5669,Curtilles,2024,308,60,9,19.5,2.9
5534,Rueyres,2024,304,60,17,19.7,5.6
5424,Berolle,2024,303,50,13,16.5,4.3
5490,Moiry,2024,300,67,10,22.3,3.3
5701,Arnex-sur-Nyon,2024,270,45,8,16.7,3.0
5741,L'Abergement,2024,270,53,11,19.6,4.1
5921,Molondin,2024,269,51,10,19.0,3.7
5663,Bussy-sur-Moudon,2024,262,48,9,18.3,3.4
5748,Bretonnières,2024,261,40,11,15.3,4.2
5903,Bioley-Magnoux,2024,257,64,13,24.9,5.1
2194,Ferpicloz,2024,248,47,8,19.0,3.2
5560,Grandevent,2024,241,43,11,17.8,4.6
5911,Cuarny,2024,241,46,9,19.1,3.7
5671,Dompierre (VD),2024,240,51,9,21.2,3.8
5481,Dizy,2024,238,30,8,12.6,3.4
5934,Valeyres-sous-Ursins,2024,235,60,18,25.5,7.7
5862,Tartegnin,2024,235,37,12,15.7,5.1
5930,Suscévaz,2024,234,47,10,20.1,4.3
5932,Ursins,2024,232,44,13,19.0,5.6
5683,Prévonloup,2024,230,45,12,19.6,5.2
5665,Chavannes-sur-Moudon,2024,229,52,14,22.7,6.1
5629,Clarmont,2024,228,32,8,14.0,3.5
5759,Premier,2024,228,62,13,27.2,5.7
5557,Fontaines-sur-Grandson,2024,219,28,7,12.8,3.2
5925,Orzens,2024,214,45,12,21.0,5.6
2079,Grangettes,2024,212,23,3,10.8,1.4
5758,La Praz,2024,207,40,7,19.3,3.4
5923,Oppens,2024,202,41,8,20.3,4.0
5747,Bofflens,2024,200,40,7,20.0,3.5
5812,Champtauroz,2024,196,21,8,10.7,4.1
5928,Rovray,2024,194,31,5,16.0,2.6
5750,Les Clées,2024,193,54,10,28.0,5.2
5650,Vaux-sur-Morges,2024,185,41,13,22.2,7.0
2261,Greng,2024,176,40,8,22.7,4.5
5912,Démoret,2024,173,38,9,22.0,5.2
5908,Chêne-Pâquier,2024,173,28,7,16.2,4.0
5475,Chavannes-le-Veyron,2024,160,27,1,16.9,0.6
5688,Syens,2024,151,33,10,21.9,6.6
2216,Pierrafortscha,2024,150,41,8,27.3,5.3
5674,Lovatens,2024,146,28,6,19.2,4.1
5937,Vugelles-La Mothe,2024,146,21,6,14.4,4.1
5562,Mauborget,2024,145,45,10,31.0,6.9
5563,Mutrux,2024,145,31,8,21.4,5.5
5762,Sergey,2024,133,22,5,16.5,3.8
5690,Villars-le-Comte,2024,132,31,6,23.5,4.5
2038,Prévondavaux,2024,113,15,4,13.3,3.5
5935,Villars-Epeney,2024,108,17,1,15.7,0.9
5828,Treytorrens (Payerne),2024,108,23,5,21.3,4.6
5564,Novalles,2024,106,24,5,22.6,4.7
5684,Rossenges,2024,91,16,9,17.6,9.9
2230,Villarsel-sur-Marly,2024,69,15,0,21.7,0.0
5488,Mauraz,2024,67,7,1,10.4,1.5
